+--------------------------------+------------------------------------------------------------------------------------+
| Package                        | License                                                                            |
+--------------------------------+------------------------------------------------------------------------------------+
| alabaster 0.7.10               | UNKNOWN                                                                            |
| asgi-redis 1.4.3               | BSD                                                                                |
| asgiref 1.1.2                  | BSD                                                                                |
| asn1crypto 0.23.0              | MIT                                                                                |
| attrs 17.3.0                   | MIT                                                                                |
| autobahn 17.10.1               | MIT License                                                                        |
| Automat 0.6.0                  | MIT                                                                                |
| Babel 2.5.1                    | BSD                                                                                |
| beautifulsoup4 4.6.0           | MIT                                                                                |
| bleach 2.1.1                   | Apache Software License                                                            |
| certifi 2017.11.5              | MPL-2.0                                                                            |
| cffi 1.11.2                    | MIT                                                                                |
| channels 1.1.8                 | BSD                                                                                |
| chardet 3.0.4                  | LGPL                                                                               |
| constantly 15.1.0              | MIT                                                                                |
| cryptography 2.1.3             | BSD or Apache License, Version 2.0                                                 |
| daphne 1.3.0                   | BSD                                                                                |
| decorator 4.1.2                | new BSD License                                                                    |
| defusedxml 0.5.0               | PSFL                                                                               |
| Django 1.11.7                  | BSD                                                                                |
| django-csp 3.3                 | BSD                                                                                |
| django-formtools 2.1           | BSD                                                                                |
| django-htmlmin 0.10.0          | UNKNOWN                                                                            |
| django-impersonate 1.2.1       | BSD License                                                                        |
| django-ipware 1.1.6            | MIT                                                                                |
| django-otp 0.4.1.1             | BSD                                                                                |
| django-phonenumber-field 1.3.0 | BSD                                                                                |
| django-redis 4.8.0             | UNKNOWN                                                                            |
| django-render-block 0.5        | UNKNOWN                                                                            |
| django-sendfile 0.3.11         | BSD                                                                                |
| django-two-factor-auth 1.6.2   | MIT                                                                                |
| djangosaml2 0.16.10            | Apache 2.0                                                                         |
| docutils 0.14                  | public domain, Python, 2-Clause BSD, GPL 3 (see COPYING.txt)                       |
| et-xmlfile 1.0.1               | MIT                                                                                |
| future 0.16.0                  | MIT                                                                                |
| html5lib 1.0b10                | MIT License                                                                        |
| httplib2 0.10.3                | MIT                                                                                |
| hyperlink 17.3.1               | MIT                                                                                |
| idna 2.6                       | BSD-like                                                                           |
| imagesize 0.7.1                | MIT                                                                                |
| incremental 17.5.0             | MIT                                                                                |
| jdcal 1.3                      | BSD                                                                                |
| Jinja2 2.10                    | BSD                                                                                |
| MarkupSafe 1.0                 | BSD                                                                                |
| msgpack-python 0.4.8           | UNKNOWN                                                                            |
| olefile 0.44                   | BSD                                                                                |
| openpyxl 2.4.9                 | MIT/Expat                                                                          |
| Paste 2.0.3                    | MIT                                                                                |
| phonenumberslite 8.8.6         | Apache License 2.0                                                                 |
| Pillow 4.3.0                   | Standard PIL License                                                               |
| pip 9.0.1                      | MIT                                                                                |
| prettytable 0.7.2              | BSD (3 clause)                                                                     |
| psycopg2 2.7.3.2               | LGPL with exceptions or ZPL                                                        |
| pyasn1 0.4.2                   | BSD                                                                                |
| pyasn1-modules 0.2.1           | BSD                                                                                |
| pycparser 2.18                 | BSD                                                                                |
| pycryptodomex 3.4.7            | UNKNOWN                                                                            |
| Pygments 2.2.0                 | BSD License                                                                        |
| pyOpenSSL 17.4.0               | Apache License, Version 2.0                                                        |
| PyPDF2 1.26.0                  | UNKNOWN                                                                            |
| pysaml2 4.5.0                  | Apache 2.0                                                                         |
| python-dateutil 2.6.1          | Simplified BSD                                                                     |
| pytz 2017.3                    | MIT                                                                                |
| qrcode 4.0.4                   | BSD                                                                                |
| redis 2.10.6                   | MIT                                                                                |
| reportlab 3.4.0                | BSD license (see license.txt for details), Copyright (c) 2000-2015, ReportLab Inc. |
| repoze.who 2.3                 | BSD-derived (http://www.repoze.org/LICENSE.txt)                                    |
| requests 2.18.4                | Apache 2.0                                                                         |
| service-identity 17.0.0        | MIT                                                                                |
| setuptools 36.7.1              | UNKNOWN                                                                            |
| six 1.11.0                     | MIT                                                                                |
| snowballstemmer 1.2.1          | BSD                                                                                |
| Sphinx 1.6.5                   | BSD                                                                                |
| sphinxcontrib-websupport 1.0.1 | BSD                                                                                |
| Twisted 17.9.0                 | MIT                                                                                |
| txaio 2.8.2                    | MIT License                                                                        |
| urllib3 1.22                   | MIT                                                                                |
| webencodings 0.5.1             | BSD                                                                                |
| WebOb 1.7.4                    | MIT                                                                                |
| websocket-client 0.44.0        | LGPL                                                                               |
| wheel 0.30.0                   | MIT                                                                                |
| xhtml2pdf 0.2b1                | Apache License 2.0                                                                 |
| zope.interface 4.4.3           | ZPL 2.1                                                                            |
+--------------------------------+------------------------------------------------------------------------------------+
